职位id,工作年限,学历,薪水,城市
4871556,1-3年,本科,10k-20k,广州
5375261,不限,大专,6k-12k,上海
4877400,不限,大专,1k-2k,武汉
4968618,1-3年,本科,8k-16k,深圳
3922870,3-5年,本科,10k-20k,上海
5041853,1-3年,本科,13k-20k,上海
5119307,3-5年,本科,25k-50k,北京
5289565,1-3年,大专,8k-16k,南京
5102533,1-3年,本科,15k-25k,北京
4040343,3-5年,本科,20k-40k,北京
2424649,3-5年,本科,10k-20k,杭州
4758132,1-3年,本科,10k-20k,北京
4279318,5-10年,本科,30k-60k,北京
4713808,1-3年,本科,6k-10k,广州
5284972,3-5年,大专,20k-35k,北京
4569897,1-3年,本科,10k-20k,深圳
5317006,1-3年,硕士,15k-17k,北京
4954064,1-3年,本科,15k-25k,上海
5340747,1-3年,大专,10k-15k,成都
4271479,3-5年,本科,20k-40k,深圳
5162204,3-5年,大专,10k-18k,深圳
868268,1-3年,不限,10k以上,广州
5308683,1-3年,本科,13k-20k,苏州
5293098,1-3年,本科,15k-25k,北京
5225324,应届毕业生,本科,7k-14k,北京
5352826,3-5年,本科,10k-20k,广州
4830519,3-5年,本科,20k-40k,深圳
4572030,3-5年,本科,10k-20k,深圳
4274605,3-5年,不限,20k-40k,北京
5009143,5-10年,本科,45k-85k,北京
4410608,不限,不限,2k-3k,郑州
5370733,1-3年,本科,10k-20k,杭州
5328310,1-3年,本科,30k-50k,北京
4663131,3-5年,本科,15k-20k,上海
5159378,不限,本科,2k-4k,石家庄
5346453,3-5年,本科,18k-25k,深圳
4964122,应届毕业生,本科,4k-5k,深圳
3101553,3-5年,本科,15k-30k,深圳
2860663,3-5年,本科,15k-30k,杭州
4696619,3-5年,本科,25k-50k,北京
4749290,5-10年,本科,20k-40k,上海
4717749,3-5年,硕士,25k-35k,北京
4788872,3-5年,本科,10k-20k,深圳
4462001,3-5年,本科,25K-50K,北京
5280448,3-5年,本科,10k-20k,北京
3115265,1-3年,本科,8k-15k,广州
4921711,3-5年,本科,18k-30k,北京
5308996,1-3年,大专,8k-15k,杭州
4609753,1-3年,本科,8k-15k,杭州
4845655,不限,本科,25k-50k,深圳
4703478,不限,不限,4k-8k,武汉
4128553,3-5年,本科,20k-40k,北京
5214187,5-10年,本科,30k-50k,北京
3242871,不限,本科,20k-40k,北京
5327436,3-5年,不限,15k-25k,苏州
4763544,3-5年,不限,20k-35k,杭州
5316767,3-5年,不限,10k-20k,北京
4978124,不限,本科,15k-25k,武汉
4627227,3-5年,本科,20k-35k,苏州
4938243,不限,本科,15k-25k,北京
5278726,应届毕业生,本科,5k-10k,北京
4320873,1-3年,本科,8k-15k,苏州
5349146,3-5年,大专,10k-15k,北京
5313848,3-5年,大专,8k-15k,成都
5194656,1-3年,本科,9k-11k,成都
5183828,3-5年,不限,10k-20k,上海
4775085,5-10年,本科,35k-70k,北京
4027619,应届毕业生,本科,3k-5k,北京
4949815,3-5年,大专,20k-40k,上海
5054014,1-3年,本科,15k-25k,北京
3095909,3-5年,不限,10k-20k,杭州
3922864,5-10年,本科,20k-40k,上海
5291745,1-3年,本科,15k-25k,苏州
4941848,1-3年,本科,8k-10k,西安
4282538,1-3年,本科,12k-24k,北京
4608826,应届毕业生,本科,3k-4k,北京
5203011,3-5年,大专,15k-20k,上海
4737891,1年以下,本科,10k-20k,北京
4988696,1-3年,大专,10k-20k,杭州
5373696,3-5年,本科,20k-40k,北京
5116299,不限,本科,10k-18k,深圳
4680901,不限,本科,20k-40k,成都
4918171,3-5年,本科,15k-30k,上海
3222885,3-5年,本科,12k-24k,杭州
4454809,不限,大专,10k-20k,苏州
4060791,1-3年,本科,20k-40k,上海
5117114,应届毕业生,本科,3k-4k,广州
4581488,3-5年,本科,15k-25k,上海
4381640,3-5年,本科,10k-20k,北京
